profile_id,profile_order,leg,joint_role,joint_name,servo_id,contact_side,software_status,hardware_status,probe_sign,home_visual_zero_tick,urdf_limit_tick,guard_tick,baseline_target_tick,allowed_motor_ids,prerequisite_targets,restore_order,coarse_contact_tick,fine_contact_tick,repeatability_spread_tick,measured_contact_tick,operational_safe_limit_tick,is_operational_safe_limit,units,source_id,evidence_path,notes
LF_UPPER_M12_MIN,1,LF,upper,lf_upper_leg_joint,12,MIN,software-ready,validated,-1,2048,1451,1387,1984,M11;M12;M13;M42,M42=2389;M13=2048;M11=2048,M11;M13;M42,1443,1443,0,1443,,false,tick,N-MATDOG;R-M12-MIN,06_Software/Matdog_Core/calibration/MATDOG_NATIVE_M12_MIN_PILOT_CHECKPOINT_2026-07-25.md,Mechanical contact only
LF_UPPER_M12_MAX,2,LF,upper,lf_upper_leg_joint,12,MAX,software-ready,validated,1,2048,3442,3506,2112,M11;M12;M13;M42,M42=2389;M13=2048;M11=2048,M11;M13;M42,3443,3442,1,3442,,false,tick,N-MATDOG;R-M12-MAX,06_Software/Matdog_Core/calibration/MATDOG_NATIVE_M12_MIN_MAX_CHECKPOINT_2026-07-28.md,Mechanical contact only
LF_HIP_M13_MIN,3,LF,hip,lf_hip_joint,13,MIN,software-ready,hardware-pending,1,2048,2560,2624,2112,M11;M12;M13;M42,M42=2389;M12=2617;M11=2048,M11;M12;M42,,,,,,false,tick,N-MATDOG,,No physical contact evidence
LF_HIP_M13_MAX,4,LF,hip,lf_hip_joint,13,MAX,software-ready,hardware-pending,-1,2048,1536,1472,1984,M11;M12;M13;M42,M42=2389;M12=2617;M11=2048,M11;M12;M42,,,,,,false,tick,N-MATDOG,,No physical contact evidence
LF_LOWER_M11_MIN,5,LF,lower,lf_lower_leg_joint,11,MIN,software-ready,hardware-pending,1,2048,3095,3159,2112,M11;M12;M13;M42,M42=2389;M13=2048;M12=3072,M12;M13;M42,,,,,,false,tick,N-MATDOG,,No physical contact evidence
LF_LOWER_M11_MAX,6,LF,lower,lf_lower_leg_joint,11,MAX,software-ready,hardware-pending,-1,2048,1621,1557,1984,M11;M12;M13;M42,M42=2389;M13=2048;M12=3072,M12;M13;M42,,,,,,false,tick,N-MATDOG,,No physical contact evidence
RF_UPPER_M22_MIN,7,RF,upper,rf_upper_leg_joint,22,MIN,software-ready,hardware-pending,1,2048,2645,2709,2112,M21;M22;M23;M32,M32=1707;M23=2048;M21=2048,M21;M23;M32,,,,,,false,tick,N-MATDOG,,No physical contact evidence
RF_UPPER_M22_MAX,8,RF,upper,rf_upper_leg_joint,22,MAX,software-ready,hardware-pending,-1,2048,654,590,1984,M21;M22;M23;M32,M32=1707;M23=2048;M21=2048,M21;M23;M32,,,,,,false,tick,N-MATDOG,,No physical contact evidence
RF_HIP_M23_MIN,9,RF,hip,rf_hip_joint,23,MIN,software-ready,hardware-pending,1,2048,2560,2624,2112,M21;M22;M23;M32,M32=1707;M22=1479;M21=2048,M21;M22;M32,,,,,,false,tick,N-MATDOG,,No physical contact evidence
RF_HIP_M23_MAX,10,RF,hip,rf_hip_joint,23,MAX,software-ready,hardware-pending,-1,2048,1536,1472,1984,M21;M22;M23;M32,M32=1707;M22=1479;M21=2048,M21;M22;M32,,,,,,false,tick,N-MATDOG,,No physical contact evidence
