joint_id,leg,leg_order,joint_order,joint_kind,urdf_joint_name,parent_link,child_link,joint_type,origin_xyz_m,origin_rpy_rad,axis,limit_lower_rad,limit_upper_rad,effort_nm,velocity_rad_s,units,servo_id,encoder_to_q_direction,urdf_motor_direction,urdf_motor_type,urdf_armature,zero_encoder_tick,calibration_status,min_profile_id,max_profile_id,source_id,evidence_path
J-LF-HIP,LF,1,1,hip,lf_hip_joint,base_link,lf_hip_link,revolute,0.1125 0.0475 0.0465,0 0 0,1 0 0,-0.785398163397,0.785398163397,0.902244,3.03687289847,m rad N.m rad/s tick,13,-1,1,Feetech ST3215,0,2048,validated-digital-zero,LF_HIP_M13_MIN,LF_HIP_M13_MAX,R-URDF;R-CAL,09_Logs/Calibration_Sessions/2026-07-02_212421_m13_lf_hip_positive_probe.result.yaml
J-LF-UPPER,LF,1,2,upper,lf_upper_leg_joint,lf_hip_link,lf_upper_leg_link,revolute,0 0.048 0,0 0 0,0 1 0,-0.916297857297,2.138028333693,0.902244,3.03687289847,m rad N.m rad/s tick,12,1,1,Feetech ST3215,0,2048,validated-digital-zero,LF_UPPER_M12_MIN,LF_UPPER_M12_MAX,R-URDF;R-CAL,09_Logs/Calibration_Sessions/2026-07-02_213021_m12_lf_upper_positive_probe.result.yaml
J-LF-LOWER,LF,1,3,lower,lf_lower_leg_joint,lf_upper_leg_link,lf_lower_leg_link,revolute,0 0 -0.09,0 0 0,0 1 0,-1.605702911835,0.654498469498,0.902244,3.03687289847,m rad N.m rad/s tick,11,-1,1,Feetech ST3215,0,2048,validated-digital-zero,LF_LOWER_M11_MIN,LF_LOWER_M11_MAX,R-URDF;R-CAL,09_Logs/Calibration_Sessions/2026-07-02_213351_m11_lf_lower_positive_probe.result.yaml
J-RF-HIP,RF,2,1,hip,rf_hip_joint,base_link,rf_hip_link,revolute,0.1125 -0.0475 0.0465,0 0 0,1 0 0,-0.785398163397,0.785398163397,0.902244,3.03687289847,m rad N.m rad/s tick,23,-1,1,Feetech ST3215,0,2048,validated-digital-zero,RF_HIP_M23_MIN,RF_HIP_M23_MAX,R-URDF;R-CAL,09_Logs/Calibration_Sessions/2026-07-05_154026_m23_rf_hip_negative_probe.result.yaml
J-RF-UPPER,RF,2,2,upper,rf_upper_leg_joint,rf_hip_link,rf_upper_leg_link,revolute,0 -0.048 0,0 0 0,0 1 0,-0.916297857297,2.138028333693,0.902244,3.03687289847,m rad N.m rad/s tick,22,-1,-1,Feetech ST3215,0,2048,validated-digital-zero,RF_UPPER_M22_MIN,RF_UPPER_M22_MAX,R-URDF;R-CAL,09_Logs/Calibration_Sessions/2026-07-05_154229_m22_rf_upper_positive_probe.result.yaml
J-RF-LOWER,RF,2,3,lower,rf_lower_leg_joint,rf_upper_leg_link,rf_lower_leg_link,revolute,0 0 -0.09,0 0 0,0 1 0,-1.605702911835,0.654498469498,0.902244,3.03687289847,m rad N.m rad/s tick,21,1,-1,Feetech ST3215,0,2048,validated-digital-zero,RF_LOWER_M21_MIN,RF_LOWER_M21_MAX,R-URDF;R-CAL,09_Logs/Calibration_Sessions/2026-07-05_154451_m21_rf_lower_negative_probe.result.yaml
J-RH-HIP,RH,3,1,hip,rh_hip_joint,base_link,rh_hip_link,revolute,-0.1125 -0.0475 0.0265,0 0 0,1 0 0,-0.785398163397,0.785398163397,0.902244,3.03687289847,m rad N.m rad/s tick,33,1,-1,Feetech ST3215,0,2048,validated-digital-zero,RH_HIP_M33_MIN,RH_HIP_M33_MAX,R-URDF;R-CAL,09_Logs/Calibration_Sessions/2026-07-05_155142_m33_rh_hip_positive_probe.result.yaml
J-RH-UPPER,RH,3,2,upper,rh_upper_leg_joint,rh_hip_link,rh_upper_leg_link,revolute,0 -0.048 0,0 0 0,0 1 0,-0.916297857297,2.138028333693,0.902244,3.03687289847,m rad N.m rad/s tick,32,-1,-1,Feetech ST3215,0,2048,validated-digital-zero,RH_UPPER_M32_MIN,RH_UPPER_M32_MAX,R-URDF;R-CAL,09_Logs/Calibration_Sessions/2026-07-05_155257_m32_rh_upper_positive_probe.result.yaml
J-RH-LOWER,RH,3,3,lower,rh_lower_leg_joint,rh_upper_leg_link,rh_lower_leg_link,revolute,0 0 -0.09,0 0 0,0 1 0,-1.605702911835,0.654498469498,0.902244,3.03687289847,m rad N.m rad/s tick,31,1,-1,Feetech ST3215,0,2048,validated-digital-zero,RH_LOWER_M31_MIN,RH_LOWER_M31_MAX,R-URDF;R-CAL,09_Logs/Calibration_Sessions/2026-07-05_155450_m31_rh_lower_positive_probe.result.yaml
J-LH-HIP,LH,4,1,hip,lh_hip_joint,base_link,lh_hip_link,revolute,-0.1125 0.0475 0.0265,0 0 0,1 0 0,-0.785398163397,0.785398163397,0.902244,3.03687289847,m rad N.m rad/s tick,43,1,-1,Feetech ST3215,0,2048,validated-digital-zero,LH_HIP_M43_MIN,LH_HIP_M43_MAX,R-URDF;R-CAL,09_Logs/Calibration_Sessions/2026-07-05_155839_m43_lh_hip_positive_probe.result.yaml
