limit_id,joint_name,servo_id,side,limit_type,value,units,status,classification,is_operational_safe_limit,source_id,evidence_path,notes
L-URDF-M13-MIN,lf_hip_joint,13,MIN,urdf_joint,-0.785398163397,rad,validated,MATDOG_VERIFIED,false,R-URDF,03_CAD/URDF/matt_robodog_rev00/matt_robodog_rev00.urdf,Model limit only
L-URDF-M13-MAX,lf_hip_joint,13,MAX,urdf_joint,0.785398163397,rad,validated,MATDOG_VERIFIED,false,R-URDF,03_CAD/URDF/matt_robodog_rev00/matt_robodog_rev00.urdf,Model limit only
L-URDF-M12-MIN,lf_upper_leg_joint,12,MIN,urdf_joint,-0.916297857297,rad,validated,MATDOG_VERIFIED,false,R-URDF,03_CAD/URDF/matt_robodog_rev00/matt_robodog_rev00.urdf,Model limit only
L-URDF-M12-MAX,lf_upper_leg_joint,12,MAX,urdf_joint,2.138028333693,rad,validated,MATDOG_VERIFIED,false,R-URDF,03_CAD/URDF/matt_robodog_rev00/matt_robodog_rev00.urdf,Model limit only
L-URDF-M11-MIN,lf_lower_leg_joint,11,MIN,urdf_joint,-1.605702911835,rad,validated,MATDOG_VERIFIED,false,R-URDF,03_CAD/URDF/matt_robodog_rev00/matt_robodog_rev00.urdf,Model limit only
L-URDF-M11-MAX,lf_lower_leg_joint,11,MAX,urdf_joint,0.654498469498,rad,validated,MATDOG_VERIFIED,false,R-URDF,03_CAD/URDF/matt_robodog_rev00/matt_robodog_rev00.urdf,Model limit only
L-URDF-M23-MIN,rf_hip_joint,23,MIN,urdf_joint,-0.785398163397,rad,validated,MATDOG_VERIFIED,false,R-URDF,03_CAD/URDF/matt_robodog_rev00/matt_robodog_rev00.urdf,Model limit only
L-URDF-M23-MAX,rf_hip_joint,23,MAX,urdf_joint,0.785398163397,rad,validated,MATDOG_VERIFIED,false,R-URDF,03_CAD/URDF/matt_robodog_rev00/matt_robodog_rev00.urdf,Model limit only
L-URDF-M22-MIN,rf_upper_leg_joint,22,MIN,urdf_joint,-0.916297857297,rad,validated,MATDOG_VERIFIED,false,R-URDF,03_CAD/URDF/matt_robodog_rev00/matt_robodog_rev00.urdf,Model limit only
L-URDF-M22-MAX,rf_upper_leg_joint,22,MAX,urdf_joint,2.138028333693,rad,validated,MATDOG_VERIFIED,false,R-URDF,03_CAD/URDF/matt_robodog_rev00/matt_robodog_rev00.urdf,Model limit only
