source_id,repository,ref,path,sha256,source_class,authority,scope,temporal_status,notes
R-URDF,MattRobotics/robot-dog,a6dc1184f56956dad696b3bcc24d74f375edb5b7,03_CAD/URDF/matt_robodog_rev00/matt_robodog_rev00.urdf,5e28da3dba10fd3f2ea6ebf6f5d6271157bda0b12b82d92aedbe3031643089ef,MATDOG_VERIFIED,PRIMARY,REV00 topology geometry limits and custom tags,CURRENT_CANONICAL,Canonical URDF
R-MAPPING,MattRobotics/robot-dog,a6dc1184f56956dad696b3bcc24d74f375edb5b7,04_Electronics/Servo_Mapping/MATDOG_SERVO_MAPPING.yaml,e6929898195074d9cf02ebbe4fd918a75a06324a912e5732225329947734d716,CORROBORATED,SECONDARY,Servo ID topology only,CURRENT_SUPPORTING,Null calibration fields are superseded by joint calibration
R-CAL,MattRobotics/robot-dog,a6dc1184f56956dad696b3bcc24d74f375edb5b7,06_Software/Matdog_Core/calibration/MATDOG_JOINT_CALIBRATION.yaml,4083443fabedddb886579065f7aa6c0056080584979c413518f465b7b4bace96,MATDOG_VERIFIED,PRIMARY,Joint directions digital zero prerequisites and missing limits,CURRENT_CANONICAL,Schema version 4
R-DZERO-DOC,MattRobotics/robot-dog,a6dc1184f56956dad696b3bcc24d74f375edb5b7,06_Software/Matdog_Core/calibration/MATDOG_DIGITAL_ZERO_CALIBRATION.md,e0f4878c2b1c18a8c89f7ebc499e80bbc40294bf7ad5a5b29f8a22848d2bf252,MATDOG_VERIFIED,PRIMARY,Digital-zero procedure and semantics,CURRENT_CANONICAL,Completed historical hardware procedure
R-DZERO-READBACK,MattRobotics/robot-dog,a6dc1184f56956dad696b3bcc24d74f375edb5b7,09_Logs/Calibration/C5_R_digital_recenter/2026-07-10_145457Z_final_12_offset_readback.json,15619d23ddcb17651ba729a0d69309b5b56befeb3377f123ff7f131582fcf8ec,HARDWARE_OBSERVATION,PRIMARY,Final 12-servo EEPROM offset readback,HARDWARE_EVIDENCE,No goal positions sent during procedure
R-STATION-CONTRACT,MattRobotics/robot-dog,a6dc1184f56956dad696b3bcc24d74f375edb5b7,06_Software/Matdog_Core/calibration/MATDOG_NORMACORE_STATION_CANONICAL.md,1db47e862373b46e4fd18ae6cfa9e75afe0af318d26702248d11069da4cf90f5,MATDOG_VERIFIED,PRIMARY,Station ownership boundary,CURRENT_CANONICAL,Robot-side contract
R-GEOMETRY-CHECK,MattRobotics/robot-dog,a6dc1184f56956dad696b3bcc24d74f375edb5b7,06_Software/Matdog_Core/calibration/MATDOG_MECHANICAL_ENDSTOP_GEOMETRY_CHECKPOINT_2026-07-20.md,9693363a384b19ce81519294f13b94fbd16b680c286e226020ce9d4e1de07f47,MATDOG_DERIVED,PRIMARY,Offline probe prerequisites and path checks,CURRENT_SUPPORTING,No physical limit validation
R-M12-MIN,MattRobotics/robot-dog,a6dc1184f56956dad696b3bcc24d74f375edb5b7,06_Software/Matdog_Core/calibration/MATDOG_NATIVE_M12_MIN_PILOT_CHECKPOINT_2026-07-25.md,89c7a80b3cc936f2597ae445b63d9b4086ce36bb8059c2e315cfa202b5ae0b33,HARDWARE_OBSERVATION,PRIMARY,LF upper M12 MIN mechanical contact,HARDWARE_EVIDENCE,Does not define safe limit
R-M12-MAX,MattRobotics/robot-dog,a6dc1184f56956dad696b3bcc24d74f375edb5b7,06_Software/Matdog_Core/calibration/MATDOG_NATIVE_M12_MIN_MAX_CHECKPOINT_2026-07-28.md,bb77d2500d81288af9743bdac653b332626a29719a2e9a890ee7b5f48ef05963,HARDWARE_OBSERVATION,PRIMARY,LF upper M12 MIN and MAX mechanical contacts,HARDWARE_EVIDENCE,Does not define safe limits
R-M12-MIN-META,MattRobotics/robot-dog,a6dc1184f56956dad696b3bcc24d74f375edb5b7,09_Logs/Calibration/M12_native_pilot_2026-07-25/matdog_m12_pilot_286d6d1_20260725-165017.meta,17145f7d3b119a32e5a78057224d1f0f3a23381d2c9223bd97a5d39662a1ba61,HARDWARE_OBSERVATION,SUPPORTING,M12 MIN run metadata,HARDWARE_EVIDENCE,Historical absolute paths are evidence content
